936 1730308766309 GEN4_TO_CONTROLLER_LOG:GEN4_INIT_INT_LOG_PIC32MZ2048EFM144 Address = 1fc0ff40, Mask = 7b000000
936 1730308766993 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 null
936 1730308766993 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload End
936 1730308766995 XXXX 1730308766995, Thread 936: XXXX 1730308766995, Entering Thread 936: Commands::runScriptBasic, script name = EnterTMOD_LV, timeOut = -1 ms  
936 1730308767002 XXXX 1730308767002, Thread 936: XXXX 1730308767002, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767002 XXXX 1730308767002, Thread 936: XXXX 1730308767002, Entering Thread 936: Commands::runScriptBasic, script name = InitJTAG, timeOut = -1 ms  
936 1730308767002 XXXX 1730308767002, Thread 936: XXXX 1730308767002, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767002 XXXX 1730308767002, Thread 936: XXXX 1730308767002, Entering Thread 936: Commands::runScriptBasic, script name = GetDeviceID, timeOut = -1 ms  
936 1730308767003 XXXX 1730308767003, Thread 936: XXXX 1730308767003, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767003 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Post:GetTargetIDInfo
936 1730308767003 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return Value
936 1730308767003 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 TargetIDInfo: Values:
936 1730308767003 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 TargetIDInfo: DeviceID = 3724f053
936 1730308767003 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return End

936 1730308767005 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Pre:SendOperation
936 1730308767005 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Payload
936 1730308767005 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 OperationInfo: Values:
936 1730308767005 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 OperationInfo: Type = read, Mask = 00000000, Erase = false, Production Mode = true
936 1730308767005 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 1fc54020, End = 1fc54027, Buffer Length = 8, Type = BootFlash, Mask = 00000000
936 1730308767005 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Payload End
936 1730308767005 XXXX 1730308767005, Thread 936: XXXX 1730308767005, Entering Thread 936: Commands::runScriptBasic, script name = GetDeviceID, timeOut = -1 ms  
936 1730308767005 XXXX 1730308767005, Thread 936: XXXX 1730308767005, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767005 XXXX 1730308767005, Thread 936: XXXX 1730308767005, Entering Thread 936: Commands::runScriptBasic, script name = CheckCodeProtect, timeOut = -1 ms  
936 1730308767006 XXXX 1730308767006, Thread 936: XXXX 1730308767006, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767006 XXXX 1730308767006, Thread 936: XXXX 1730308767006, Entering Thread 936: Commands::runScriptBasic, script name = SetupSerialMode, timeOut = -1 ms  
936 1730308767008 XXXX 1730308767008, Thread 936: XXXX 1730308767008, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767008 XXXX 1730308767008, Thread 936: XXXX 1730308767008, Entering Thread 936: Commands::runScriptBasic, script name = LoadLoader, timeOut = -1 ms  
936 1730308767030 XXXX 1730308767030, Thread 936: XXXX 1730308767030, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767030 XXXX 1730308767030, Thread 936: XXXX 1730308767030, Entering Thread 936: Commands::runScriptWithDownload, script name = DownloadPE  
936 1730308767113 XXXX 1730308767113, Thread 936: XXXX 1730308767113, Exiting Thread 936: Commands::runScriptWithDownload(DownloadPE)  
936 1730308767113 XXXX 1730308767113, Thread 936: XXXX 1730308767113, Entering Thread 936: Commands::runScriptBasic, script name = TestPEConnect, timeOut = -1 ms  
936 1730308767115 XXXX 1730308767115, Thread 936: XXXX 1730308767115, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767115 XXXX 1730308767115, Thread 936: XXXX 1730308767115, Entering Thread 936: Commands::runScriptWithUpload, script name = ReadProgmemPE  
936 1730308767115 XXXX 1730308767115, Thread 936: XXXX 1730308767115, Entering Thread 936: ToolCommUsb::readTransfer, sideData is 0x38 bytes long, transferDataLength is 0x8 bytes long  
936 1730308767116 XXXX 1730308767116, Thread 936: XXXX 1730308767116, Exiting Thread 936: ToolCommUsb::readTransfer,  cr.status = 0x0  
936 1730308767116 XXXX 1730308767116, Thread 936: XXXX 1730308767116, Exiting Thread 936: Commands::runScriptWithUpload  
936 1730308767116 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Post:SendOperation
936 1730308767116 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Return Value
936 1730308767116 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 None
936 1730308767116 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Return End

936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Pre:SendOperation
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Payload
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 OperationInfo: Values:
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 OperationInfo: Type = erase, Mask = 00000000, Erase = false, Production Mode = true
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 1d000000, End = 1d1fffff, Buffer Length = 0, Type = Pgm, Mask = 00000000
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 20000000, End = 23ffffff, Buffer Length = 0, Type = Pgm, Mask = 00000000
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 30000000, End = 33ffffff, Buffer Length = 0, Type = Pgm, Mask = 00000000
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 1fc0ffc0, End = 1fc0ffff, Buffer Length = 0, Type = Cfg, Mask = 00000000
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 1fc0ff40, End = 1fc0ff7f, Buffer Length = 0, Type = Cfg, Mask = 00000000
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 1fc4ffc0, End = 1fc4ffff, Buffer Length = 0, Type = Cfg, Mask = 00000000
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 1fc4ff40, End = 1fc4ff7f, Buffer Length = 0, Type = Cfg, Mask = 00000000
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 1fc6ffc0, End = 1fc6ffff, Buffer Length = 0, Type = Cfg, Mask = 00000000
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 1fc6ff40, End = 1fc6ff7f, Buffer Length = 0, Type = Cfg, Mask = 00000000
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 1fc00000, End = 1fc0feff, Buffer Length = 0, Type = BootFlash, Mask = 00000000
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 1fc20000, End = 1fc2feff, Buffer Length = 0, Type = BootFlash, Mask = 00000000
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 1fc40000, End = 1fc4feff, Buffer Length = 0, Type = BootFlash, Mask = 00000000
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 1fc60000, End = 1fc6feff, Buffer Length = 0, Type = BootFlash, Mask = 00000000
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 1fc10000, End = 1fc13fff, Buffer Length = 0, Type = BootFlash, Mask = 00000000
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 1fc30000, End = 1fc33fff, Buffer Length = 0, Type = BootFlash, Mask = 00000000
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 1fc50000, End = 1fc53fff, Buffer Length = 0, Type = BootFlash, Mask = 00000000
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 1fc70000, End = 1fc73fff, Buffer Length = 0, Type = BootFlash, Mask = 00000000
936 1730308767230 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Payload End
936 1730308767230 XXXX 1730308767230, Thread 936: XXXX 1730308767230, Entering Thread 936: Commands::runScriptBasic, script name = EnterTMOD_LV, timeOut = -1 ms  
936 1730308767243 XXXX 1730308767243, Thread 936: XXXX 1730308767243, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767244 XXXX 1730308767244, Thread 936: XXXX 1730308767244, Entering Thread 936: Commands::runScriptBasic, script name = InitJTAG, timeOut = -1 ms  
936 1730308767244 XXXX 1730308767244, Thread 936: XXXX 1730308767244, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767244 XXXX 1730308767244, Thread 936: XXXX 1730308767244, Entering Thread 936: Commands::runScriptBasic, script name = EraseChip, timeOut = 30000 ms  
936 1730308767345 XXXX 1730308767345, Thread 936: XXXX 1730308767345, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767345 XXXX 1730308767345, Thread 936: XXXX 1730308767345, Entering Thread 936: Commands::runScriptBasic, script name = ExitTMOD, timeOut = -1 ms  
936 1730308767349 XXXX 1730308767349, Thread 936: XXXX 1730308767349, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767349 XXXX 1730308767349, Thread 936: XXXX 1730308767349, Entering Thread 936: Commands::runScriptBasic, script name = EnterTMOD_LV, timeOut = -1 ms  
936 1730308767354 XXXX 1730308767354, Thread 936: XXXX 1730308767354, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767354 XXXX 1730308767354, Thread 936: XXXX 1730308767354, Entering Thread 936: Commands::runScriptBasic, script name = InitJTAG, timeOut = -1 ms  
936 1730308767355 XXXX 1730308767355, Thread 936: XXXX 1730308767355, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767355 XXXX 1730308767355, Thread 936: XXXX 1730308767355, Entering Thread 936: Commands::runScriptBasic, script name = GetDeviceID, timeOut = -1 ms  
936 1730308767357 XXXX 1730308767357, Thread 936: XXXX 1730308767357, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767357 XXXX 1730308767357, Thread 936: XXXX 1730308767357, Entering Thread 936: Commands::runScriptBasic, script name = GetDeviceID, timeOut = -1 ms  
936 1730308767358 XXXX 1730308767358, Thread 936: XXXX 1730308767358, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767358 XXXX 1730308767358, Thread 936: XXXX 1730308767358, Entering Thread 936: Commands::runScriptBasic, script name = CheckCodeProtect, timeOut = -1 ms  
936 1730308767358 XXXX 1730308767358, Thread 936: XXXX 1730308767358, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767359 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Post:SendOperation
936 1730308767359 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Return Value
936 1730308767359 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 None
936 1730308767359 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Return End

936 1730308767360 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Pre:SendOperation
936 1730308767360 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Payload
936 1730308767360 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 OperationInfo: Values:
936 1730308767360 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 OperationInfo: Type = write, Mask = 00000000, Erase = false, Production Mode = true
936 1730308767360 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 1d000000, End = 1d0d6fff, Buffer Length = 880640, Type = Pgm, Mask = 00000000
936 1730308767360 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 1fc0ffc0, End = 1fc0ffff, Buffer Length = 64, Type = Cfg, Mask = 00000000
936 1730308767360 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 1fc00000, End = 1fc007ff, Buffer Length = 2048, Type = BootFlash, Mask = 00000000
936 1730308767360 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 TransferInfo: Start = 1fc01000, End = 1fc0bfff, Buffer Length = 45056, Type = BootFlash, Mask = 00000000
936 1730308767360 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Payload End
936 1730308767360 XXXX 1730308767360, Thread 936: XXXX 1730308767360, Entering Thread 936: Commands::runScriptBasic, script name = GetDeviceID, timeOut = -1 ms  
936 1730308767361 XXXX 1730308767361, Thread 936: XXXX 1730308767361, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767361 XXXX 1730308767361, Thread 936: XXXX 1730308767361, Entering Thread 936: Commands::runScriptBasic, script name = CheckCodeProtect, timeOut = -1 ms  
936 1730308767362 XXXX 1730308767362, Thread 936: XXXX 1730308767362, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767362 XXXX 1730308767362, Thread 936: XXXX 1730308767362, Entering Thread 936: Commands::runScriptBasic, script name = SetupSerialMode, timeOut = -1 ms  
936 1730308767363 XXXX 1730308767363, Thread 936: XXXX 1730308767363, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767363 XXXX 1730308767363, Thread 936: XXXX 1730308767363, Entering Thread 936: Commands::runScriptBasic, script name = LoadLoader, timeOut = -1 ms  
936 1730308767385 XXXX 1730308767385, Thread 936: XXXX 1730308767385, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767385 XXXX 1730308767385, Thread 936: XXXX 1730308767385, Entering Thread 936: Commands::runScriptWithDownload, script name = DownloadPE  
936 1730308767468 XXXX 1730308767468, Thread 936: XXXX 1730308767468, Exiting Thread 936: Commands::runScriptWithDownload(DownloadPE)  
936 1730308767468 XXXX 1730308767468, Thread 936: XXXX 1730308767468, Entering Thread 936: Commands::runScriptBasic, script name = TestPEConnect, timeOut = -1 ms  
936 1730308767470 XXXX 1730308767470, Thread 936: XXXX 1730308767470, Exiting Thread 936: Commands::runScriptBasic  
936 1730308767470 XXXX 1730308767470, Thread 936: XXXX 1730308767470, Entering Thread 936: Commands::runScriptWithDownload, script name = WriteProgmemPE  
936 1730308782064 XXXX 1730308782064, Thread 936: XXXX 1730308782064, Exiting Thread 936: Commands::runScriptWithDownload(WriteProgmemPE)  
936 1730308782064 XXXX 1730308782064, Thread 936: XXXX 1730308782064, Entering Thread 936: Commands::runScriptBasic, script name = CalcCRC_PE, timeOut = -1 ms  
936 1730308782175 XXXX 1730308782175, Thread 936: XXXX 1730308782175, Exiting Thread 936: Commands::runScriptBasic  
936 1730308782176 XXXX 1730308782176, Thread 936: XXXX 1730308782176, Entering Thread 936: Commands::runScriptBasic, script name = CalcCRC_PE, timeOut = -1 ms  
936 1730308782288 XXXX 1730308782288, Thread 936: XXXX 1730308782288, Exiting Thread 936: Commands::runScriptBasic  
936 1730308782289 XXXX 1730308782289, Thread 936: XXXX 1730308782289, Entering Thread 936: Commands::runScriptBasic, script name = CalcCRC_PE, timeOut = -1 ms  
936 1730308782400 XXXX 1730308782400, Thread 936: XXXX 1730308782400, Exiting Thread 936: Commands::runScriptBasic  
936 1730308782400 XXXX 1730308782400, Thread 936: XXXX 1730308782400, Entering Thread 936: Commands::runScriptBasic, script name = CalcCRC_PE, timeOut = -1 ms  
936 1730308782512 XXXX 1730308782512, Thread 936: XXXX 1730308782512, Exiting Thread 936: Commands::runScriptBasic  
936 1730308782512 XXXX 1730308782512, Thread 936: XXXX 1730308782512, Entering Thread 936: Commands::runScriptBasic, script name = CalcCRC_PE, timeOut = -1 ms  
936 1730308782622 XXXX 1730308782622, Thread 936: XXXX 1730308782622, Exiting Thread 936: Commands::runScriptBasic  
936 1730308782624 XXXX 1730308782624, Thread 936: XXXX 1730308782624, Entering Thread 936: Commands::runScriptBasic, script name = CalcCRC_PE, timeOut = -1 ms  
936 1730308782735 XXXX 1730308782735, Thread 936: XXXX 1730308782735, Exiting Thread 936: Commands::runScriptBasic  
936 1730308782736 XXXX 1730308782736, Thread 936: XXXX 1730308782736, Entering Thread 936: Commands::runScriptBasic, script name = CalcCRC_PE, timeOut = -1 ms  
936 1730308782817 XXXX 1730308782817, Thread 936: XXXX 1730308782817, Exiting Thread 936: Commands::runScriptBasic  
936 1730308782818 XXXX 1730308782818, Thread 936: XXXX 1730308782818, Entering Thread 936: Commands::runScriptWithDownload, script name = WriteConfigmemPE  
936 1730308782824 XXXX 1730308782824, Thread 936: XXXX 1730308782824, Exiting Thread 936: Commands::runScriptWithDownload(WriteConfigmemPE)  
936 1730308782824 XXXX 1730308782824, Thread 936: XXXX 1730308782824, Entering Thread 936: Commands::runScriptWithUpload, script name = ReadProgmemPE  
936 1730308782824 XXXX 1730308782824, Thread 936: XXXX 1730308782824, Entering Thread 936: ToolCommUsb::readTransfer, sideData is 0x38 bytes long, transferDataLength is 0x40 bytes long  
936 1730308782829 XXXX 1730308782829, Thread 936: XXXX 1730308782829, Exiting Thread 936: ToolCommUsb::readTransfer,  cr.status = 0x0  
936 1730308782829 XXXX 1730308782829, Thread 936: XXXX 1730308782829, Exiting Thread 936: Commands::runScriptWithUpload  
936 1730308782829 XXXX 1730308782829, Thread 936: XXXX 1730308782829, Entering Thread 936: Commands::runScriptWithDownload, script name = P32PE_ProgramCluster  
936 1730308782873 XXXX 1730308782873, Thread 936: XXXX 1730308782873, Exiting Thread 936: Commands::runScriptWithDownload(P32PE_ProgramCluster)  
936 1730308782873 XXXX 1730308782873, Thread 936: XXXX 1730308782873, Entering Thread 936: Commands::runScriptWithUpload, script name = ReadProgmemPE  
936 1730308782873 XXXX 1730308782873, Thread 936: XXXX 1730308782873, Entering Thread 936: ToolCommUsb::readTransfer, sideData is 0x38 bytes long, transferDataLength is 0x800 bytes long  
936 1730308782912 XXXX 1730308782912, Thread 936: XXXX 1730308782912, Exiting Thread 936: ToolCommUsb::readTransfer,  cr.status = 0x0  
936 1730308782912 XXXX 1730308782912, Thread 936: XXXX 1730308782912, Exiting Thread 936: Commands::runScriptWithUpload  
936 1730308782912 XXXX 1730308782912, Thread 936: XXXX 1730308782912, Entering Thread 936: Commands::runScriptWithDownload, script name = WriteProgmemPE  
936 1730308783668 XXXX 1730308783668, Thread 936: XXXX 1730308783668, Exiting Thread 936: Commands::runScriptWithDownload(WriteProgmemPE)  
936 1730308783668 XXXX 1730308783668, Thread 936: XXXX 1730308783668, Entering Thread 936: Commands::runScriptWithUpload, script name = ReadProgmemPE  
936 1730308783668 XXXX 1730308783668, Thread 936: XXXX 1730308783668, Entering Thread 936: ToolCommUsb::readTransfer, sideData is 0x38 bytes long, transferDataLength is 0x4000 bytes long  
936 1730308783959 XXXX 1730308783959, Thread 936: XXXX 1730308783959, Exiting Thread 936: ToolCommUsb::readTransfer,  cr.status = 0x0  
936 1730308783959 XXXX 1730308783959, Thread 936: XXXX 1730308783959, Exiting Thread 936: Commands::runScriptWithUpload  
936 1730308783959 XXXX 1730308783959, Thread 936: XXXX 1730308783959, Entering Thread 936: Commands::runScriptWithUpload, script name = ReadProgmemPE  
936 1730308783959 XXXX 1730308783959, Thread 936: XXXX 1730308783959, Entering Thread 936: ToolCommUsb::readTransfer, sideData is 0x38 bytes long, transferDataLength is 0x4000 bytes long  
936 1730308784249 XXXX 1730308784249, Thread 936: XXXX 1730308784249, Exiting Thread 936: ToolCommUsb::readTransfer,  cr.status = 0x0  
936 1730308784249 XXXX 1730308784249, Thread 936: XXXX 1730308784249, Exiting Thread 936: Commands::runScriptWithUpload  
936 1730308784249 XXXX 1730308784249, Thread 936: XXXX 1730308784249, Entering Thread 936: Commands::runScriptWithUpload, script name = ReadProgmemPE  
936 1730308784249 XXXX 1730308784249, Thread 936: XXXX 1730308784249, Entering Thread 936: ToolCommUsb::readTransfer, sideData is 0x38 bytes long, transferDataLength is 0x3000 bytes long  
936 1730308784468 XXXX 1730308784468, Thread 936: XXXX 1730308784468, Exiting Thread 936: ToolCommUsb::readTransfer,  cr.status = 0x0  
936 1730308784468 XXXX 1730308784468, Thread 936: XXXX 1730308784468, Exiting Thread 936: Commands::runScriptWithUpload  
936 1730308784468 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Post:SendOperation
936 1730308784468 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Return Value
936 1730308784468 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 None
936 1730308784468 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Return End

936 1730308784468 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Pre:endOfOperations
936 1730308784468 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Payload
936 1730308784468 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 null
936 1730308784468 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Payload End
936 1730308784468 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Post:endOfOperations
936 1730308784468 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Return Value
936 1730308784468 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 None
936 1730308784468 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Return End

936 1730308784471 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Pre:SendOperation
936 1730308784471 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Payload
936 1730308784471 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 OperationInfo: Values:
936 1730308784471 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 OperationInfo: Type = releasefromreset, Mask = 00000000, Erase = false, Production Mode = true
936 1730308784471 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Payload End
936 1730308784471 XXXX 1730308784471, Thread 936: XXXX 1730308784471, Entering Thread 936: Commands::runScriptBasic, script name = ExitTMOD, timeOut = -1 ms  
936 1730308784473 XXXX 1730308784473, Thread 936: XXXX 1730308784473, Exiting Thread 936: Commands::runScriptBasic  
936 1730308784473 XXXX 1730308784473, Thread 936: XXXX 1730308784473, Entering Thread 936: Commands::runScriptBasic with script contents. contents[0] = 0x42, ...  
936 1730308784474 XXXX 1730308784474, Thread 936: XXXX 1730308784474, Exiting Thread 936: Commands::runScriptBasic  
936 1730308784474 XXXX 1730308784474, Thread 936: XXXX 1730308784474, Entering Thread 936: Commands::runScriptBasic with script contents. contents[0] = 0xef, ...  
936 1730308784486 XXXX 1730308784486, Thread 936: XXXX 1730308784486, Exiting Thread 936: Commands::runScriptBasic  
936 1730308784486 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Post:SendOperation
936 1730308784486 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Return Value
936 1730308784486 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 None
936 1730308784486 GEN4_TO_CONTROLLER_LOG:GEN4_PROGRAM_INT_LOG_PIC32MZ2048EFM144 Return End
936 1730308784495 GEN4_CONNECT_DIAGNOSTICS:MPLABCommTool is null

936 1730308784495 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Pre:GetFirmwareInfo
936 1730308784495 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload
936 1730308784495 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 null
936 1730308784495 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Payload End
936 1730308784503 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Post:GetFirmwareInfo
936 1730308784503 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 Return Value
936 1730308784503 GEN4_TO_CONTROLLER_LOG:GEN4_CONNECT_INT_LOG_PIC32MZ2048EFM144 FirmwareInfo: Values:
